btlabel	0001001000100000Offset
brevrz,rx	01000111111111100110001000000000
ld.wrz,(rx,offset)	01011011111111100010Offset
orirz,rx,imm16	0011001111111110Offset
xtrb2rz,rx	01000111111111100111000010000000
jsrilabel	0001001100100000Offset
divurz,rx,ry	01000111111111101000000000100001



ÃÊªªπÊ‘Ú£∫
RX 11110
RZ 11111
RY 00001
IMM5 00100
IMM16 0000000000000101
Offset 0
