tstnbzrx	01000100000RX001000
psrclr#imm5	010000000000000001110000001IMM5
multrz,rx,ry	010001RZRX10000100001RY
trap#0	01000000000000000010110000100000
suburz,rx,ry	010001RZRX00000000100RY
decltrz,rx,imm5	010001RZRX00010000010IMM5
decnerz,rx,imm5	010001RZRX00010000100IMM5
btlabel	0001001000100000Offset
brevrz,rx	010001RZRX0110001000000000
ld.wrz,(rx,offset)	010110RZRX0010Offset
orirz,rx,imm16	001100RZRXOffset
xtrb2rz,rx	010001RZRX0111000010000000
jsrilabel	0001001100100000Offset
divurz,rx,ry	010001RZRX10000000001RY
